Pos X,Pos Y,Pos Z,Ori X,Ori Y,Ori Z,Pos W
2.98008,-3.07184,0,0,0,0.541548,0.84067
2.99161,-3.04711,0,0,0,0.592129,0.805843
3.00717,-2.98816,0,0,0,0.651933,0.758276
3.00993,-2.95993,0,0,0,0.683988,0.729493
3.00619,-2.92772,0,0,0,0.707276,0.706938
3.00525,-2.89195,0,0,0,0.722402,0.691473
3.00327,-2.85873,0,0,0,0.731201,0.682162
2.99892,-2.82159,0,0,0,0.733142,0.680076
2.99593,-2.78282,0,0,0,0.734007,0.679141
2.99319,-2.74781,0,0,0,0.734147,0.678991
2.98995,-2.71442,0,0,0,0.734369,0.678751
2.98678,-2.67407,0,0,0,0.734064,0.67908
2.98388,-2.63697,0,0,0,0.733633,0.679545
2.98095,-2.59868,0,0,0,0.733226,0.679985
2.9752,-2.55121,0,0,0,0.731863,0.681452
2.97218,-2.50865,0,0,0,0.73126,0.682099
2.96831,-2.41445,0,0,0,0.726319,0.687358
2.96604,-2.36937,0,0,0,0.723523,0.6903
2.96405,-2.32388,0,0,0,0.72197,0.691924
2.96187,-2.27263,0,0,0,0.722144,0.691743
2.96176,-2.22386,0,0,0,0.720005,0.693968
2.95999,-2.17596,0,0,0,0.720008,0.693966
2.95798,-2.12173,0,0,0,0.720199,0.693768
2.95491,-2.06422,0,0,0,0.720273,0.69369
2.95293,-2.01634,0,0,0,0.722925,0.690927
2.95019,-1.9629,0,0,0,0.725851,0.687852
2.94702,-1.95694,0,0,0,0.726088,0.687601
2.94432,-1.90865,0,0,0,0.728472,0.685076
2.9413,-1.85963,0,0,0,0.730528,0.682883
2.93771,-1.79386,0,0,0,0.728556,0.684987
2.9347,-1.74509,0,0,0,0.728545,0.684997
2.93178,-1.69775,0,0,0,0.728286,0.685274
2.92784,-1.63732,0,0,0,0.729038,0.684473
2.92272,-1.55479,0,0,0,0.728024,0.685552
2.9202,-1.51224,0,0,0,0.727739,0.685854
2.92056,-1.47573,0,0,0,0.726356,0.687319
2.91867,-1.44369,0,0,0,0.728748,0.684782
2.91642,-1.40949,0,0,0,0.73057,0.682838
2.91439,-1.38016,0,0,0,0.731489,0.681853
2.90888,-1.35657,0,0,0,0.732066,0.681233
2.90652,-1.32432,0,0,0,0.732994,0.680235
2.90439,-1.2973,0,0,0,0.739146,0.673545
2.90209,-1.2729,0,0,0,0.748872,0.662715
2.89455,-1.24341,0,0,0,0.765135,0.643869
2.89116,-1.22391,0,0,0,0.78306,0.621946
2.88364,-1.20578,0,0,0,0.809069,0.587714
2.87757,-1.18822,0,0,0,0.835145,0.550031
2.85984,-1.15421,0,0,0,0.873993,0.485938
2.84918,-1.13933,0,0,0,0.896066,0.443922
2.83477,-1.12459,0,0,0,0.914009,0.405693
2.82343,-1.11327,0,0,0,0.928393,0.371599
2.81222,-1.11004,0,0,0,0.939643,0.342155
2.79737,-1.10417,0,0,0,0.956506,0.291712
2.78351,-1.09503,0,0,0,0.96491,0.26258
2.75778,-1.08743,0,0,0,0.971994,0.235006
2.74134,-1.07907,0,0,0,0.977571,0.210607
2.72361,-1.07112,0,0,0,0.982146,0.188122
2.70285,-1.06732,0,0,0,0.984447,0.175684
2.6655,-1.05571,0,0,0,0.991639,0.12904
2.64295,-1.05064,0,0,0,0.993843,0.110793
2.62314,-1.04661,0,0,0,0.995523,0.0945218
2.60291,-1.04314,0,0,0,0.996795,0.079999
2.57876,-1.03968,0,0,0,0.997782,0.0665671
2.54959,-1.03694,0,0,0,0.998227,0.0595287
2.52659,-1.03441,0,0,0,0.998627,0.0523758
2.49976,-1.03177,0,0,0,0.998917,0.0465249
2.47487,-1.02962,0,0,0,0.999174,0.0406413
2.44835,-1.02766,0,0,0,0.999428,0.033831
2.41587,-1.03362,0,0,0,0.999853,0.0171582
2.38468,-1.03256,0,0,0,0.999937,0.0112348
2.35183,-1.03184,0,0,0,0.999979,0.00647258
2.24425,-1.03551,0,0,0,0.999998,0.00219078
2.22489,-1.03549,0,0,0,1,-0.000673103
2.1705,-1.03559,0,0,0,0.999998,-0.00188832
2.13613,-1.03574,0,0,0,0.999998,-0.00199716
2.0903,-1.03479,0,0,0,0.999999,0.00130285
2.05651,-1.03471,0,0,0,0.999999,0.0010816
2.02312,-1.03465,0,0,0,1,0.000325929
1.98658,-1.03473,0,0,0,0.999998,-0.00182329
1.954,-1.03582,0,0,0,1,-0.00021323
1.92065,-1.03585,0,0,0,1,-0.000501716
1.88183,-1.03594,0,0,0,0.999985,-0.00540417
1.84796,-1.03613,0,0,0,0.999803,-0.0198599
1.81519,-1.03755,0,0,0,0.999139,-0.0414979
1.78178,-1.04083,0,0,0,0.997236,-0.0742999
